logical_experiment_id	canonical_run_id	physical_runs	topic	status	training_source	truth_used_in_inference	resolution_bp	entrypoint	entrypoint_status	evidence_path	canonical_selection_reason	readme_present	manifest_present	provenance_grade	notes
011	011-20260617_014152-p9016_regression_copytrack_1m	011-20260617_014152-p9016_regression_copytrack_1m	copy-track regression	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/011-20260617_014152-p9016_regression_copytrack_1m/logs/run_p9016_011_regression_copytrack.sh	PRESERVED	/work/phase3/test_res/011-20260617_014152-p9016_regression_copytrack_1m/logs/run_p9016_011_regression_copytrack.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
012	012-20260617_111813-p9016_dscale_semantics_regression_1m	012-20260617_111813-p9016_dscale_semantics_regression_1m	count-to-distance semantic regression	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/012-20260617_111813-p9016_dscale_semantics_regression_1m/logs/run_p9016_012_dscale_semantics_regression.sh	PRESERVED	/work/phase3/test_res/012-20260617_111813-p9016_dscale_semantics_regression_1m/logs/run_p9016_012_dscale_semantics_regression.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
013	013-20260617_115651-p1006_dscale_semantics_gpu_1m	013-20260617_115651-p1006_dscale_semantics_gpu_1m	P1006 count-to-distance control	NON_P9016_CONTROL	P1006 pairs	none	1000000	README/manifest/commands only	NOT_PRESERVED	/work/phase3/test_res/013-20260617_115651-p1006_dscale_semantics_gpu_1m/README.md	only physical run with this logical identifier	1	1	high	non-P9016 control
014	014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m	014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m	P9016/P1006 posterior-gamma and separation comparison	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/scripts_snapshot/run_p9016_p1006_014_dscale_gamma_sep.sh	PRESERVED	/work/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/scripts_snapshot/run_p9016_p1006_014_dscale_gamma_sep.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
015	015-20260617_234926-p9016_charm3dg_clean_contacts_1m	015-20260617_234926-p9016_charm3dg_clean_contacts_1m	CHARM/3DG-derived clean-contact positive control	ORACLE_CONTROL	CHARM/3DG-derived contacts	ORACLE_REFERENCE_CONTACTS	1000000	/work/phase3/test_res/015-20260617_234926-p9016_charm3dg_clean_contacts_1m/scripts_snapshot/run_p9016_015_charm3dg_clean_contacts.sh	PRESERVED	/work/phase3/test_res/015-20260617_234926-p9016_charm3dg_clean_contacts_1m/scripts_snapshot/run_p9016_015_charm3dg_clean_contacts.sh	only physical run with this logical identifier	1	1	high	positive control only
016	016-20260618_150851-p9016_charm_contacts_condition_sweep_1m	016-20260618_150851-p9016_charm_contacts_condition_sweep_1m	CHARM/3DG-derived contact-condition sweep	ORACLE_CONTROL	CHARM/3DG-derived contacts	ORACLE_REFERENCE_CONTACTS	1000000	/work/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/scripts_snapshot/run_p9016_016_charm_contacts_condition_sweep.sh	PRESERVED	/work/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/scripts_snapshot/run_p9016_016_charm_contacts_condition_sweep.sh	only physical run with this logical identifier	1	1	high	positive control only
017	017-20260618_210650-p9016_trans_gauge_force_diagnostics	017-20260618_210650-p9016_trans_gauge_force_diagnostics	trans gauge and force diagnostic	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/017-20260618_210650-p9016_trans_gauge_force_diagnostics/scripts_snapshot/run_p9016_017_trans_diagnostics.sh	PRESERVED	/work/phase3/test_res/017-20260618_210650-p9016_trans_gauge_force_diagnostics/scripts_snapshot/run_p9016_017_trans_diagnostics.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
018	018-20260618_220644-p9016_fixed_posterior_graph_semantics_1m	018-20260618_214516-p9016_fixed_posterior_graph_semantics_1m;018-20260618_220644-p9016_fixed_posterior_graph_semantics_1m	fixed ORACLE posterior graph-semantics control	ORACLE_CONTROL	fixed posterior from experiment 016	ORACLE_FIXED_POSTERIOR	1000000	/work/phase3/test_res/018-20260618_220644-p9016_fixed_posterior_graph_semantics_1m/scripts_snapshot/run_p9016_018_fixed_posterior_graph_semantics.sh	PRESERVED	/work/phase3/test_res/018-20260618_220644-p9016_fixed_posterior_graph_semantics_1m/scripts_snapshot/run_p9016_018_fixed_posterior_graph_semantics.sh	explicit canonical mapping retained from experiment audit	1	1	high	positive control only; all physical runs retained in physical_runs
019	019-20260618_224538-p9016_copytrack_continuity_1m	019-20260618_224538-p9016_copytrack_continuity_1m	copy-track continuity	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/019-20260618_224538-p9016_copytrack_continuity_1m/scripts_snapshot/run_p9016_019_copytrack_continuity.sh	PRESERVED	/work/phase3/test_res/019-20260618_224538-p9016_copytrack_continuity_1m/scripts_snapshot/run_p9016_019_copytrack_continuity.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
020	020-20260618_232240-p9016_trans_gauge_oracle_1m	020-20260618_232240-p9016_trans_gauge_oracle_1m	trans gauge ORACLE diagnostic	MISSING_REQUIRED_PROVENANCE	P9016 raw contacts	none	1000000	README/manifest/commands only	NOT_PRESERVED	/work/phase3/test_res/020-20260618_232240-p9016_trans_gauge_oracle_1m	only physical run with this logical identifier	0	0	low	truth used only in explicitly ORACLE/eval decoder
021	021-20260618_234407-p9016_trans_chr_pair_prior_1m	021-20260618_233506-p9016_trans_chr_pair_prior_1m;021-20260618_234407-p9016_trans_chr_pair_prior_1m	trans chromosome-pair prior	CANONICAL_SELECTED_FROM_MULTIPLE_RUNS	P9016 raw pairs	none	1000000	/work/phase3/test_res/021-20260618_234407-p9016_trans_chr_pair_prior_1m/scripts_snapshot/run_p9016_021_trans_chr_pair_prior.sh	PRESERVED	/work/phase3/test_res/021-20260618_234407-p9016_trans_chr_pair_prior_1m/scripts_snapshot/run_p9016_021_trans_chr_pair_prior.sh	explicit canonical mapping retained from experiment audit	1	1	high	phase and CHARM/3DG evaluation only; all physical runs retained in physical_runs
022	022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m	022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m	trans pair-sharpen warmup	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/scripts_snapshot/run_p9016_022_trans_pair_sharpen_warmup.sh	PRESERVED	/work/phase3/test_res/022-20260619_004818-p9016_trans_pair_sharpen_warmup_1m/scripts_snapshot/run_p9016_022_trans_pair_sharpen_warmup.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
023	023-20260619_023520-p9016_blind_pair_flip_rule_audit_1m	023-20260619_023520-p9016_blind_pair_flip_rule_audit_1m	blind pair-flip rule audit	HISTORICAL	P9016 raw pairs	none	1000000	README/manifest/commands only	NOT_PRESERVED	/work/phase3/test_res/023-20260619_023520-p9016_blind_pair_flip_rule_audit_1m/README.md	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
024	024-20260619_024741-p9016_pairs_source_signal_audit_1m	024-20260619_024558-p9016_pairs_source_signal_audit_1m;024-20260619_024741-p9016_pairs_source_signal_audit_1m	raw pairs source-signal audit	CANONICAL_SELECTED_FROM_MULTIPLE_RUNS	P9016 raw pairs	none	1000000	/work/phase3/test_res/024-20260619_024741-p9016_pairs_source_signal_audit_1m/scripts_snapshot/run_p9016_024_pairs_source_signal_audit.sh	PRESERVED	/work/phase3/test_res/024-20260619_024741-p9016_pairs_source_signal_audit_1m/scripts_snapshot/run_p9016_024_pairs_source_signal_audit.sh	explicit canonical mapping retained from experiment audit	1	1	high	phase and CHARM/3DG evaluation only; all physical runs retained in physical_runs
025	025-20260619_025331-p9016_callable_trans_confidence_audit_1m	025-20260619_025331-p9016_callable_trans_confidence_audit_1m	callable trans confidence audit	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/025-20260619_025331-p9016_callable_trans_confidence_audit_1m/scripts_snapshot/run_p9016_025_callable_trans_audit.sh	PRESERVED	/work/phase3/test_res/025-20260619_025331-p9016_callable_trans_confidence_audit_1m/scripts_snapshot/run_p9016_025_callable_trans_audit.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
026	026-20260619_025918-p9016_contacts_seg_source_signal_audit_1m	026-20260619_025918-p9016_contacts_seg_source_signal_audit_1m	contacts.seg source-signal audit	HISTORICAL	P9016 contacts.seg/readgroup source	none	1000000	README/manifest/commands only	NOT_PRESERVED	/work/phase3/test_res/026-20260619_025918-p9016_contacts_seg_source_signal_audit_1m/README.md	only physical run with this logical identifier	1	1	high	not the approved pairs-only input surface
027	027-20260619_030956-p9016_contacts_seg_source_sweep_1m	027-20260619_030424-p9016_contacts_seg_source_sweep_1m;027-20260619_030956-p9016_contacts_seg_source_sweep_1m;027-20260619_034240-p9016_contacts_seg_source_sweep_1m_fast20	contacts.seg source sweep	CANONICAL_SELECTED_FROM_MULTIPLE_RUNS	P9016 contacts.seg/readgroup source	none	1000000	/work/phase3/test_res/027-20260619_030956-p9016_contacts_seg_source_sweep_1m/scripts_snapshot/run_p9016_027_contacts_seg_source_sweep.sh	PRESERVED	/work/phase3/test_res/027-20260619_030956-p9016_contacts_seg_source_sweep_1m/scripts_snapshot/run_p9016_027_contacts_seg_source_sweep.sh	explicit canonical mapping retained from experiment audit	1	1	high	not the approved pairs-only input surface; all physical runs retained in physical_runs
028	028-20260619_034341-p9016_readgroup_consistent_decoding_combined_1m	028-20260619_034341-p9016_readgroup_consistent_decoding_1m;028-20260619_034341-p9016_readgroup_consistent_decoding_1m_sep;028-20260619_034341-p9016_readgroup_consistent_decoding_combined_1m	readgroup-consistent decoding	CANONICAL_SELECTED_FROM_MULTIPLE_RUNS	P9016 contacts.seg/readgroup source	none	1000000	README/manifest/commands only	NOT_PRESERVED	/work/phase3/test_res/028-20260619_034341-p9016_readgroup_consistent_decoding_combined_1m/README.md	explicit canonical mapping retained from experiment audit	1	1	high	not the approved pairs-only input surface; all physical runs retained in physical_runs
029	029-20260619_061138-p9016_readgroup_joint_marginal_1m	029-20260619_045310-p9016_readgroup_joint_marginal_1m;029-20260619_051434-p9016_readgroup_joint_marginal_1m;029-20260619_061138-p9016_readgroup_joint_marginal_1m	readgroup joint marginal	CANONICAL_SELECTED_FROM_MULTIPLE_RUNS	P9016 contacts.seg/readgroup source	none	1000000	/work/phase3/test_res/029-20260619_061138-p9016_readgroup_joint_marginal_1m/scripts_snapshot/run_p9016_029_readgroup_joint_marginal.sh	PRESERVED	/work/phase3/test_res/029-20260619_061138-p9016_readgroup_joint_marginal_1m/scripts_snapshot/run_p9016_029_readgroup_joint_marginal.sh	explicit canonical mapping retained from experiment audit	1	1	high	not the approved pairs-only input surface; all physical runs retained in physical_runs
030	030-20260619_081645-p9016_global_copytrack_1m	030-20260619_081645-p9016_global_copytrack_1m	global copy-track regularization	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/scripts_snapshot/run_p9016_030_global_copytrack.sh	PRESERVED	/work/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/scripts_snapshot/run_p9016_030_global_copytrack.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
031	031-20260619_105814-p9016_confidence_boost_pairs_1m	031-20260619_105618-p9016_confidence_boost_pairs_1m;031-20260619_105814-p9016_confidence_boost_pairs_1m	confidence-boosted pairs	CANONICAL_SELECTED_FROM_MULTIPLE_RUNS	P9016 raw pairs	none	1000000	/work/phase3/test_res/031-20260619_105814-p9016_confidence_boost_pairs_1m/scripts_snapshot/run_p9016_031_confidence_boost.sh	PRESERVED	/work/phase3/test_res/031-20260619_105814-p9016_confidence_boost_pairs_1m/scripts_snapshot/run_p9016_031_confidence_boost.sh	explicit canonical mapping retained from experiment audit	1	1	high	phase and CHARM/3DG evaluation only; all physical runs retained in physical_runs
032	032-20260619_122253-p9016_trans_contact_scaling_1m	032-20260619_122253-p9016_trans_contact_scaling_1m	trans contact scaling	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/scripts_snapshot/run_p9016_032_trans_contact_scaling.sh	PRESERVED	/work/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/scripts_snapshot/run_p9016_032_trans_contact_scaling.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
033	033-20260619_131815-p9016_trans_top1_mstep_1m	033-20260619_131815-p9016_trans_top1_mstep_1m	trans top1 M-step	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/scripts_snapshot/run_p9016_033_trans_top1_mstep.sh	PRESERVED	/work/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/scripts_snapshot/run_p9016_033_trans_top1_mstep.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
034	034-20260619_140108-p9016_entropy_rho_temperature_1m	034-20260619_140108-p9016_entropy_rho_temperature_1m	entropy, rho, and temperature	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/scripts_snapshot/run_p9016_034_entropy_rho_temperature.sh	PRESERVED	/work/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/scripts_snapshot/run_p9016_034_entropy_rho_temperature.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
035	035-20260619_143807-p9016_copytrack_entropy_combo_1m	035-20260619_143807-p9016_copytrack_entropy_combo_1m	copy-track plus entropy	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/035-20260619_143807-p9016_copytrack_entropy_combo_1m/scripts_snapshot/run_p9016_035_copytrack_entropy_combo.sh	PRESERVED	/work/phase3/test_res/035-20260619_143807-p9016_copytrack_entropy_combo_1m/scripts_snapshot/run_p9016_035_copytrack_entropy_combo.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
036	036-20260619_212753-p9016_trans_confidence_rho_1m	036-20260619_212753-p9016_trans_confidence_rho_1m	trans confidence/rho	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/scripts_snapshot/run_p9016_036_trans_confidence_rho.sh	PRESERVED	/work/phase3/test_res/036-20260619_212753-p9016_trans_confidence_rho_1m/scripts_snapshot/run_p9016_036_trans_confidence_rho.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
037	037-20260619_230802-p9016_trans_chrpair_mstep_1m	037-20260619_230802-p9016_trans_chrpair_mstep_1m	trans chromosome-pair M-step	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/scripts_snapshot/run_p9016_037_trans_chrpair_mstep.sh	PRESERVED	/work/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/scripts_snapshot/run_p9016_037_trans_chrpair_mstep.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
038	038-20260620_000849-p9016_trans_decoder_audit_1m	038-20260620_000849-p9016_trans_decoder_audit_1m	trans decoder audit	HISTORICAL	P9016 raw contacts	none	1000000	/work/phase3/test_res/038-20260620_000849-p9016_trans_decoder_audit_1m/scripts_snapshot/run_p9016_038_trans_decoder_audit.sh	PRESERVED	/work/phase3/test_res/038-20260620_000849-p9016_trans_decoder_audit_1m/scripts_snapshot/run_p9016_038_trans_decoder_audit.sh	only physical run with this logical identifier	1	1	high	truth used only in explicitly ORACLE/eval decoder
039	039-20260620_002902-p9016_global_gauge_decoder_audit_1m	039-20260620_002902-p9016_global_gauge_decoder_audit_1m	global gauge decoder audit	HISTORICAL	P9016 raw contacts	none	1000000	/work/phase3/test_res/039-20260620_002902-p9016_global_gauge_decoder_audit_1m/scripts_snapshot/run_p9016_039_global_gauge_decoder_audit.sh	PRESERVED	/work/phase3/test_res/039-20260620_002902-p9016_global_gauge_decoder_audit_1m/scripts_snapshot/run_p9016_039_global_gauge_decoder_audit.sh	only physical run with this logical identifier	1	1	high	truth used only in explicitly ORACLE/eval decoder
040	040-20260620_010533-p9016_normdir_copytrack_1m	040-20260620_010533-p9016_normdir_copytrack_1m	normalized-direction copy-track	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/040-20260620_010533-p9016_normdir_copytrack_1m/scripts_snapshot/run_p9016_040_normdir_copytrack.sh	PRESERVED	/work/phase3/test_res/040-20260620_010533-p9016_normdir_copytrack_1m/scripts_snapshot/run_p9016_040_normdir_copytrack.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
041	041-20260620_015915-p9016_callable_trans_abstention_1m	041-20260620_013925-p9016_callable_trans_abstention_1m;041-20260620_014332-p9016_callable_trans_abstention_1m;041-20260620_015354-p9016_callable_trans_abstention_1m;041-20260620_015727-p9016_callable_trans_abstention_1m;041-20260620_015915-p9016_callable_trans_abstention_1m	callable trans abstention	CANONICAL_SELECTED_FROM_MULTIPLE_RUNS	P9016 raw pairs	none	1000000	/work/phase3/test_res/041-20260620_015915-p9016_callable_trans_abstention_1m/scripts_snapshot/run_p9016_041_callable_trans_abstention.sh	PRESERVED	/work/phase3/test_res/041-20260620_015915-p9016_callable_trans_abstention_1m/scripts_snapshot/run_p9016_041_callable_trans_abstention.sh	explicit canonical mapping retained from experiment audit	1	1	high	phase and CHARM/3DG evaluation only; all physical runs retained in physical_runs; latest repaired machine-schema run, not formally declared superseding
042	042-20260620_022516-p9016_trans_gate_mstep_1m	042-20260620_022516-p9016_trans_gate_mstep_1m	trans-gated M-step	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/scripts_snapshot/run_p9016_042_trans_gate_mstep.sh	PRESERVED	/work/phase3/test_res/042-20260620_022516-p9016_trans_gate_mstep_1m/scripts_snapshot/run_p9016_042_trans_gate_mstep.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
043	043-20260620_031947-p9016_raw_pairs_remaining_ablation_1m	043-20260620_031947-p9016_raw_pairs_remaining_ablation_1m	raw pairs remaining ablation	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/043-20260620_031947-p9016_raw_pairs_remaining_ablation_1m/scripts_snapshot/run_p9016_043_raw_pairs_remaining_ablation.sh	PRESERVED	/work/phase3/test_res/043-20260620_031947-p9016_raw_pairs_remaining_ablation_1m/scripts_snapshot/run_p9016_043_raw_pairs_remaining_ablation.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
044	044-20260620_040939-p9016_multiseed_basin_audit_1m	044-20260620_040939-p9016_multiseed_basin_audit_1m	multi-seed basin audit	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/scripts_snapshot/run_p9016_044_multiseed_basin_audit.sh	PRESERVED	/work/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/scripts_snapshot/run_p9016_044_multiseed_basin_audit.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
045	045-20260620_055343-p9016_raw_heldout_selection_1m	045-20260620_055343-p9016_raw_heldout_selection_1m	raw held-out selection audit	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/scripts_snapshot/run_p9016_045_raw_heldout_selection.sh	PRESERVED	/work/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/scripts_snapshot/run_p9016_045_raw_heldout_selection.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
046	046-20260620_075311-p9016_pair_flip_sync_signal_audit_1m	046-20260620_075311-p9016_pair_flip_sync_signal_audit_1m	pair-flip synchronization signal audit	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/046-20260620_075311-p9016_pair_flip_sync_signal_audit_1m/scripts_snapshot/run_p9016_046_pair_flip_sync_signal.sh	PRESERVED	/work/phase3/test_res/046-20260620_075311-p9016_pair_flip_sync_signal_audit_1m/scripts_snapshot/run_p9016_046_pair_flip_sync_signal.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
047	047-20260620_082138-p9016_init_coord_anchor_1m	047-20260620_082138-p9016_init_coord_anchor_1m	blind coordinate-initialization anchor	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/scripts_snapshot/run_p9016_047_init_coord_anchor.sh	PRESERVED	/work/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/scripts_snapshot/run_p9016_047_init_coord_anchor.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
048	048-20260620_092323-p9016_callable_anchor_mstep_1m	048-20260620_092323-p9016_callable_anchor_mstep_1m	callable-anchor M-step	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/scripts_snapshot/run_p9016_048_callable_anchor_mstep.sh	PRESERVED	/work/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/scripts_snapshot/run_p9016_048_callable_anchor_mstep.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
049	049-20260620_103248-p9016_trans_dscale_gamma_1m	049-20260620_103248-p9016_trans_dscale_gamma_1m	trans count-to-distance posterior gamma	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/scripts_snapshot/run_p9016_049_trans_dscale_gamma.sh	PRESERVED	/work/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/scripts_snapshot/run_p9016_049_trans_dscale_gamma.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
050	050-20260620_113123-p9016_pairs_identifiability_audit_1m	050-20260620_113123-p9016_pairs_identifiability_audit_1m	pairs identifiability audit	HISTORICAL	P9016 raw pairs	none	1000000	/work/phase3/test_res/050-20260620_113123-p9016_pairs_identifiability_audit_1m/scripts_snapshot/run_p9016_050_pairs_identifiability_audit.sh	PRESERVED	/work/phase3/test_res/050-20260620_113123-p9016_pairs_identifiability_audit_1m/scripts_snapshot/run_p9016_050_pairs_identifiability_audit.sh	only physical run with this logical identifier	1	1	high	phase and CHARM/3DG evaluation only
